Model,Accuracy (%),Precision (%),Recall (%),F1-score (%),ROC-AUC
Logistic Regression,85.2,84.1,83.5,83.8,0.89
Random Forest,91.5,90.8,90.2,90.5,0.94
XGBoost,93.2,92.6,91.9,92.2,0.96
Neural Network,92.4,91.7,91.2,91.4,0.95
Proposed Model,95.1,94.5,94.0,94.2,0.98
